date,btc_close,btc_state,btc_ema50,eth_close,eth_state,etf_day,etf_in20,etf_week,brake,funding_annual,cycle_month,phase,action_btc,action_eth,overlay
2026-09-22,86611.01,顺势,75016.17394861225,2776.57,顺势,9.99,12,9.99,,10.95,29.1,再入场窗口,BTC 持有（周期持有期，趋势出场未武装）,ETH 持有（周期持有期，趋势出场未武装）,合约 可持1x（费率年化 11%）
2026-09-23,86204.93,顺势,75454.94584320173,2753.72,顺势,9.99,12,9.99,,6.199385560031851,29.1,再入场窗口,BTC 持有（周期持有期，趋势出场未武装）,ETH 持有（周期持有期，趋势出场未武装）,合约 可持1x（费率年化 6%）
2026-09-24,84391.0,顺势,75805.37882097569,2684.61,顺势,7.15,12,17.14,,4.142937412969349,29.1,再入场窗口,BTC 持有（周期持有期，趋势出场未武装）,ETH 持有（周期持有期，趋势出场未武装）,合约 可持1x（费率年化 4%）
2026-09-25,84406.76,顺势,76142.68506200588,2687.9,顺势,3.47,12,20.61,,2.00788970699235,29.2,再入场窗口,BTC 持有（周期持有期，趋势出场未武装）,ETH 持有（周期持有期，趋势出场未武装）,合约 可持1x（费率年化 2%）
